access_pattern,block_size,cache_size,category,channels,chip_Avg_Fraction_DataXfer,chip_Avg_Fraction_Exec,chip_Avg_Fraction_Idle,chip_Avg_Fraction_Overlap,chips_per_channel,energy_Energy_per_IO_Index,energy_Total_Chip_Power_Index,exp_name,ftl_Average_Page_Movement_For_GC,ftl_CMT_Hit_Rate,ftl_CMT_Hits,ftl_CMT_Read_Hit_Rate,ftl_CMT_Read_Hits,ftl_CMT_Write_Hit_Rate,ftl_CMT_Write_Hits,ftl_Mapping_Erase_CMD,ftl_Mapping_Program_CMD,ftl_Mapping_Read_CMD,ftl_Total_CMT_Queries,ftl_Total_CMT_Read_Queries,ftl_Total_CMT_Write_Queries,ftl_Total_Flash_Erase_CMD,ftl_Total_Flash_Program_CMD,ftl_Total_Flash_Read_CMD,ftl_Total_GC_Executions,host_BW_Bytes_per_s,host_BW_MiB_per_s,host_Device_Response_Time,host_E2E_Latency_ms_assuming_us,host_End_to_End_Request_Delay,host_IOPS,host_Read_BW_Bytes_per_s,host_Read_IOPS,host_Read_Request_Count,host_Request_Count,host_Write_BW_Bytes_per_s,host_Write_IOPS,host_Write_Request_Count,io_queue_depth,tpcc_variant,tsu_GC_Avg_Queue_Length,tsu_GC_Avg_Waiting_Time,tsu_GC_Transactions_Dequeued,tsu_GC_Transactions_Enqueued,tsu_Mapping_Avg_Queue_Length,tsu_Mapping_Avg_Waiting_Time,tsu_Mapping_Transactions_Dequeued,tsu_Mapping_Transactions_Enqueued,tsu_User_Avg_Queue_Length,tsu_User_Avg_Waiting_Time,tsu_User_Transactions_Dequeued,tsu_User_Transactions_Enqueued
randread,4kb,,ch_chip,16,0.061626671874999976,0.5125173671875001,0.938373328125,0.0,8,1.7533228221345637e-06,107.94633000000002,wl_ch16_chip8_4kb_randread_scenario_1,nan,0.0010986130704354433,67638,,,,,0,25809051,26162888,61566717,,,0,0,87448184,0,2521718644.616754,2404.898304573778,831.0,0.831,831.0,615653.965971,,,61566717,61566717,,,0,,,0.0,,,,51742.69081264063,38.781787360290714,26162888.0,51971939.0,0.43086161425781233,716.1654669518922,61566717.0,61566717.0
randwrite,4kb,,ch_chip,16,0.015282578125000007,0.9253728671874999,0.9847174218749999,0.0,8,1.0424276745835284e-05,157.82581200000004,wl_ch16_chip8_4kb_randwrite_scenario_1,nan,0.0007412738770764539,11219,,,,,0,6873194,7227029,15134757,,,0,15064374,7351734,0,619879795.023722,591.1634397732945,3381.0,3.381,3381.0,151337.840582,,,0,15140217,,,15140217,,,0.0,,,,13272.463025957033,182.63513435213045,7227029.0,14100223.0,0.8859089746093753,5946.3624847176625,15261082.0,15261082.0
seqread,128kb,,ch_chip,4,0.278131375,0.44882237499999994,0.721868625,0.0,2,1.281637559746022e-05,7.103104500000001,wl_ch4_chip2_128kb_seqread_scenario_1,nan,0.0,0,,,,,0,5313,317140,8867536,,,0,0,4789354,0,725944398.963877,692.3145284308214,92413.0,92.413,92413.0,5538.516227,,,554221,554221,,,0,,,0.0,,,,158.804632125,92.82257879442895,317140.0,322453.0,82.6462710625,59688.0,8867536.0,8867536.0
seqwrite,128kb,,ch_chip,4,0.04835725,0.9509704999999999,0.9516427499999999,0.0,2,0.00010589180576316227,10.201193,wl_ch4_chip2_128kb_seqwrite_scenario_1,nan,0.0,0,,,,,0,806,117510,1541376,,,0,1008052,117506,0,125596309.420457,119.77797452970219,532893.0,532.893,532893.0,958.223796,,,0,96336,,,96336,,,0.0,,,,18.165396187499997,685.1690557490111,117510.0,118316.0,0.20751648437499998,865.875,1541376.0,1541376.0
mixed,4kb,,ch_chip,4,0.0412365,0.9167387499999999,0.9587635000000001,0.0,2,3.872890351280451e-06,9.898856,wl_ch4_chip2_4kb_mixed_scenario_1,nan,0.0187534702019457,47928,,,,,0,98053,363975,2555687,,,0,762654,2157346,0,104627834.833753,99.78087886214543,20036.0,20.036,20036.0,25543.904989,,,1787965,2555935,,,767970,,,0.0,,,,2752.4417623125,234.07127706545924,363975.0,462028.0,1.011392953125,2525.570468264719,2563913.0,2563913.0
randread,4kb,,ch_chip,4,0.127111,0.755084,0.872889,0.0,2,1.1383369988437424e-06,8.949116,wl_ch4_chip2_4kb_randread_scenario_1,nan,0.019505391416727195,153343,,,,,0,299763,565758,7861570,,,0,0,8053158,0,321966942.038089,307.0516033535852,6512.0,6.512,6512.0,78605.210459,,,7861570,7861570,,,0,,,0.0,,,,9170.5322186875,47.30900232345605,565758.0,865521.0,7.875203953125,6411.526870586918,7861570.0,7861570.0
randwrite,4kb,,ch_chip,4,0.016061375000000003,0.9304025,0.983938625,0.0,2,1.022591058141587e-05,9.907465499999999,wl_ch4_chip2_4kb_randwrite_scenario_1,nan,0.016864397154333032,16333,,,,,0,31088,297214,968490,,,0,962516,305821,0,39657410.285699,37.820253644656184,52858.0,52.858,52858.0,9681.984933,,,0,968859,,,968859,,,0.0,,,,777.521583,286.7551279005306,297214.0,328302.0,0.868575484375,5691.965492505178,977208.0,977208.0
seqread,128kb,,ch_chip,4,0.14339449999999998,0.36607218750000003,0.8566055000000001,0.0,4,2.060304918490592e-05,11.804310999999998,wl_ch4_chip4_128kb_seqread_scenario_1,nan,0.03398066525803954,330971,,,,,0,6673,343858,9739980,,,0,0,7811481,0,750576975.852214,715.8059843561306,89386.0,89.386,89386.0,5726.447875,,,572940,572940,,,0,,,0.0,,,,100.9537885,101.18835709252534,343858.0,350531.0,8.164507101562505,10734.411764705883,9739980.0,9739980.0
seqwrite,128kb,,ch_chip,4,0.024305249999999997,0.6613051874999999,0.9756947499999998,0.0,4,0.00016173753894081,15.575325000000001,wl_ch4_chip4_128kb_seqwrite_scenario_1,nan,0.0,0,,,,,0,1596,143245,1604344,,,0,1406778,143246,0,125305538.468868,119.50067374121475,533464.0,533.464,533464.0,956.00539,,,0,96300,,,96300,,,0.0,,,,18.33953971875,263.114132048246,143245.0,144841.0,0.7246274921875001,5823.169117922047,1604348.0,1604348.0
mixed,4kb,,ch_chip,4,0.040603625000000004,0.9093804374999999,0.9593963750000001,0.0,4,3.882511062983774e-06,19.674916,wl_ch4_chip4_4kb_mixed_scenario_1,nan,0.008556901351413756,43359,,,,,0,507518,750103,5067138,,,0,1510235,4304867,0,207479639.841174,197.86800369374657,10104.0,10.104,10104.0,50654.208946,,,3546928,5067575,,,1520647,,,0.0,,,,7601.034463812501,176.88383066122464,750103.0,1257621.0,1.014289515625,2556.3177453346043,5080062.0,5080062.0
